scenario,purchase_cost,mid_cost,big_cost,same_filter_count,all_filters_same,base_plan_total_annual_cost,reoptimized_total_annual_cost,annual_cost_penalty,annual_cost_penalty_pct,purchase_factor,mid_factor,big_factor
purchase_0.8_mid_0.8_big_0.7,240.0,2.4000000000000004,8.399999999999999,10,True,1108.6463234828361,1108.6463234828361,0.0,0.0,0.8,0.8,0.7
purchase_0.8_mid_0.8_big_0.8,240.0,2.4000000000000004,9.600000000000001,10,True,1123.7827180723073,1123.7827180723073,0.0,0.0,0.8,0.8,0.8
purchase_0.8_mid_0.8_big_0.9,240.0,2.4000000000000004,10.8,9,False,1138.919112661778,1138.6552252886468,0.26388737313118327,0.02317535345822423,0.8,0.8,0.9
purchase_0.8_mid_0.8_big_1.0,240.0,2.4000000000000004,12.0,9,False,1154.0555072512489,1153.3247422179627,0.7307650332861613,0.06336160203073633,0.8,0.8,1.0
purchase_0.8_mid_0.8_big_1.1,240.0,2.4000000000000004,13.200000000000001,9,False,1169.1919018407195,1167.9942591472786,1.197642693440912,0.10253840582361072,0.8,0.8,1.1
purchase_0.8_mid_0.8_big_1.2,240.0,2.4000000000000004,14.399999999999999,9,False,1184.3282964301904,1182.6637760765943,1.6645203535961173,0.14074332766985126,0.8,0.8,1.2
purchase_0.8_mid_0.8_big_1.3,240.0,2.4000000000000004,15.600000000000001,9,False,1199.4646910196611,1197.3332930059105,2.1313980137506405,0.17801208954941497,0.8,0.8,1.3
purchase_0.8_mid_0.9_big_0.7,240.0,2.7,8.399999999999999,10,True,1134.0390603884484,1134.0390603884484,0.0,0.0,0.8,0.9,0.7
purchase_0.8_mid_0.9_big_0.8,240.0,2.7,9.600000000000001,10,True,1149.1754549779193,1149.1754549779193,0.0,0.0,0.8,0.9,0.8
purchase_0.8_mid_0.9_big_0.9,240.0,2.7,10.8,9,False,1164.31184956739,1164.0491081071696,0.26274146022046807,0.02257133813260724,0.8,0.9,0.9
purchase_0.8_mid_0.9_big_1.0,240.0,2.7,12.0,9,False,1179.448244156861,1178.7186250364855,0.7296191203754461,0.06189934602525363,0.8,0.9,1.0
purchase_0.8_mid_0.9_big_1.1,240.0,2.7,13.200000000000001,9,False,1194.5846387463318,1193.3881419658012,1.1964967805306514,0.10026048847441449,0.8,0.9,1.1
purchase_0.8_mid_0.9_big_1.2,240.0,2.7,14.399999999999999,9,False,1209.7210333358025,1208.0576588951171,1.663374440685402,0.1376899875960155,0.8,0.9,1.2
purchase_0.8_mid_0.9_big_1.3,240.0,2.7,15.600000000000001,9,False,1224.8574279252734,1222.727175824433,2.13025210084038,0.1742213752143066,0.8,0.9,1.3
purchase_0.8_mid_1.0_big_0.7,240.0,3.0,8.399999999999999,10,True,1159.4317972940605,1159.4317972940605,0.0,0.0,0.8,1.0,0.7
purchase_0.8_mid_1.0_big_0.8,240.0,3.0,9.600000000000001,10,True,1174.5681918835314,1174.5681918835314,0.0,0.0,0.8,1.0,0.8
purchase_0.8_mid_1.0_big_0.9,240.0,3.0,10.8,9,False,1189.704586473002,1189.4429909256924,0.2615955473097529,0.021993113525026056,0.8,1.0,0.9
purchase_0.8_mid_1.0_big_1.0,240.0,3.0,12.0,9,False,1204.840981062473,1204.1125078550083,0.7284732074647309,0.060498765913695594,0.8,1.0,1.0
purchase_0.8_mid_1.0_big_1.1,240.0,3.0,13.200000000000001,9,False,1219.977375651944,1218.782024784324,1.1953508676199363,0.09807749403191812,0.8,1.0,1.1
purchase_0.8_mid_1.0_big_1.2,240.0,3.0,14.399999999999999,9,False,1235.1137702414146,1233.45154171364,1.6622285277746869,0.13476236978595407,0.8,1.0,1.2
purchase_0.8_mid_1.0_big_1.3,240.0,3.0,15.600000000000001,9,False,1250.2501648308855,1248.1210586429559,2.129106187929665,0.17058491026860628,0.8,1.0,1.3
purchase_0.8_mid_1.1_big_0.7,240.0,3.3000000000000003,8.399999999999999,10,True,1184.8245341996726,1184.8245341996726,0.0,0.0,0.8,1.1,0.7
purchase_0.8_mid_1.1_big_0.8,240.0,3.3000000000000003,9.600000000000001,10,True,1199.9609287891435,1199.9609287891435,0.0,0.0,0.8,1.1,0.8
